用户名,得分,设定时长,最高连击,日期
地鼠大王,155,30,21,2026-07-09 20:34:50
地鼠王后,433,30,47,2026-07-09 20:44:06
地鼠公主,170,30,25,2026-07-09 20:50:34
地鼠王子,243,30,34,2026-07-09 20:53:31
地鼠宝宝,296,30,39,2026-07-09 21:05:54
地鼠哥哥,149,30,20,2026-07-09 21:08:36
地鼠姐姐,62,30,17,2026-07-10 08:29:25
chick,0,30,0,2026-07-10 09:22:52
地鼠舅舅,308,30,40,2026-07-10 09:26:52
地鼠叔叔,248,30,36,2026-07-10 09:46:35
地鼠姨姨,276,30,38,2026-07-10 10:09:15
地鼠爷爷,0,30,0,2026-07-10 12:47:10
地鼠爷爷,164,30,28,2026-07-10 13:17:00
地鼠奶奶,310,60,37,2026-07-10 13:42:33
